winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
New Zealand,,2024-01-17,"University Oval, Dunedin",Pakistan,field,New Zealand,Pakistan
Sri Lanka,,2024-01-18,"R Premadasa Stadium, Colombo",Sri Lanka,field,Zimbabwe,Sri Lanka
New Zealand,,2024-01-19,"Hagley Oval, Christchurch",New Zealand,field,Pakistan,New Zealand
Pakistan,,2024-01-21,"Hagley Oval, Christchurch",Pakistan,bat,Pakistan,New Zealand
Cambodia,,2024-01-27,"Terdthai Cricket Ground, Bangkok",Cambodia,field,Myanmar,Cambodia
Cambodia,,2024-01-28,"Terdthai Cricket Ground, Bangkok",Cambodia,bat,Cambodia,China
Indonesia,,2024-02-01,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Indonesia,Bhutan
Singapore,,2024-02-02,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Singapore,Maldives
Japan,,2024-02-02,"Terdthai Cricket Ground, Bangkok",Thailand,field,Japan,Thailand
Cambodia,,2024-02-03,"Terdthai Cricket Ground, Bangkok",Indonesia,bat,Indonesia,Cambodia
Saudi Arabia,,2024-02-03,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Bhutan,Saudi Arabia
Thailand,,2024-02-04,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Singapore,Thailand
Japan,,2024-02-04,"Terdthai Cricket Ground, Bangkok",Japan,bat,Japan,Maldives
Saudi Arabia,,2024-02-05,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,Saudi Arabia,Indonesia
Thailand,,2024-02-06,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Maldives,Thailand
Singapore,,2024-02-06,"Terdthai Cricket Ground, Bangkok",Japan,field,Singapore,Japan
Thailand,,2024-02-07,"Terdthai Cricket Ground, Bangkok",Thailand,field,Indonesia,Thailand
Maldives,,2024-02-07,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Maldives,Bhutan
Australia,,2024-02-09,"Bellerive Oval, Hobart",West Indies,field,Australia,West Indies
Saudi Arabia,,2024-02-09,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Japan,Saudi Arabia
Cambodia,,2024-02-09,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Singapore,Cambodia
Singapore,,2024-02-11,"Terdthai Cricket Ground, Bangkok",Singapore,field,Japan,Singapore
Saudi Arabia,,2024-02-11,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Cambodia,Saudi Arabia
Australia,,2024-02-11,Adelaide Oval,West Indies,field,Australia,West Indies
Saudi Arabia,,2024-02-12,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,Saudi Arabia,Maldives
Thailand,,2024-02-12,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,Bhutan,Thailand
West Indies,,2024-02-13,Perth Stadium,West Indies,bat,West Indies,Australia
Maldives,,2024-02-13,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,Bhutan,Maldives
Saudi Arabia,,2024-02-13,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Thailand,Saudi Arabia
Hong Kong,,2024-02-14,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Hong Kong,China
Hong Kong,,2024-02-14,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Japan,Hong Kong
Saudi Arabia,,2024-02-15,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Saudi Arabia,Bhutan
Hong Kong,,2024-02-15,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Hong Kong,Japan
Japan,,2024-02-15,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Japan,China
Thailand,,2024-02-15,"Terdthai Cricket Ground, Bangkok",Thailand,field,Maldives,Thailand
Japan,,2024-02-16,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Japan,China
Saudi Arabia,,2024-02-16,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Thailand,Saudi Arabia
Bhutan,,2024-02-16,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Maldives,Bhutan
Hong Kong,,2024-02-16,"Mission Road Ground, Mong Kok, Hong Kong",China,bat,China,Hong Kong
Hong Kong,,2024-02-17,"Mission Road Ground, Mong Kok, Hong Kong",Japan,field,Hong Kong,Japan
Australia,,2024-02-21,"Sky Stadium, Wellington",New Zealand,bat,New Zealand,Australia
Australia,,2024-02-23,"Eden Park, Auckland",New Zealand,field,Australia,New Zealand
Australia,,2024-02-25,"Eden Park, Auckland",New Zealand,field,Australia,New Zealand
Namibia,,2024-02-27,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,bat,Namibia,Nepal
Hong Kong,,2024-02-27,University of Doha for Science and Technology,Qatar,field,Hong Kong,Qatar
Netherlands,,2024-02-28,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Netherlands,Nepal
Netherlands,,2024-02-29,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,Namibia
Qatar,,2024-02-29,University of Doha for Science and Technology,Hong Kong,bat,Hong Kong,Qatar
Nepal,,2024-03-01,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,field,Nepal,Namibia
Nepal,,2024-03-02,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,Nepal
Sri Lanka,,2024-03-04,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,Bangladesh
Netherlands,,2024-03-05,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Nepal,Netherlands
Vanuatu,,2024-03-05,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,Vanuatu,Tanzania
Bahrain,,2024-03-05,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Kuwait,Bahrain
Oman,,2024-03-06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Papua New Guinea,Oman
Bangladesh,,2024-03-06,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,Bangladesh
Malaysia,,2024-03-06,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Vanuatu
Kuwait,,2024-03-06,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,Tanzania,Kuwait
Papua New Guinea,,2024-03-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,field,Oman,Papua New Guinea
Bahrain,,2024-03-07,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Malaysia,Bahrain
Kuwait,,2024-03-07,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,Vanuatu,Kuwait
Oman,,2024-03-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Papua New Guinea,Oman
Malaysia,,2024-03-09,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Kuwait,Malaysia
Bahrain,,2024-03-09,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,Bahrain,Tanzania
Sri Lanka,,2024-03-09,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,Bangladesh
Hong Kong,,2024-03-09,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Hong Kong,Nepal
Malaysia,,2024-03-10,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,Tanzania,Malaysia
Bahrain,,2024-03-10,"Bayuemas Oval, Kuala Lumpur",Bahrain,bat,Bahrain,Vanuatu
Bahrain,,2024-03-11,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Bahrain
Kuwait,,2024-03-11,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,Vanuatu,Kuwait
United Arab Emirates,,2024-03-11,Dubai International Cricket Stadium,United Arab Emirates,field,Scotland,United Arab Emirates
Papua New Guinea,,2024-03-12,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Hong Kong,Papua New Guinea
Nepal,,2024-03-12,"Mission Road Ground, Mong Kok, Hong Kong",Papua New Guinea,field,Nepal,Papua New Guinea
Papua New Guinea,,2024-03-13,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Papua New Guinea,Nepal
Scotland,,2024-03-13,Dubai International Cricket Stadium,United Arab Emirates,field,Scotland,United Arab Emirates
Scotland,,2024-03-14,Dubai International Cricket Stadium,United Arab Emirates,field,Scotland,United Arab Emirates
Papua New Guinea,,2024-03-16,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Papua New Guinea,Malaysia
Tanzania,,2024-03-17,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,Tanzania,Nigeria
Malaysia,,2024-03-17,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Papua New Guinea
Uganda,,2024-03-17,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,Uganda,Kenya
South Africa,,2024-03-17,"Achimota Senior Secondary School A Field, Accra",South Africa,bat,South Africa,Ghana
Zimbabwe,,2024-03-17,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,Zimbabwe,Namibia
Uganda,,2024-03-18,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,Uganda,Ghana
Zimbabwe,,2024-03-18,"Achimota Senior Secondary School A Field, Accra",Tanzania,bat,Tanzania,Zimbabwe
Nigeria,,2024-03-18,"Achimota Senior Secondary School B Field, Accra",Namibia,bat,Namibia,Nigeria
Namibia,,2024-03-20,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,Tanzania,Namibia
Zimbabwe,,2024-03-20,"Achimota Senior Secondary School A Field, Accra",Nigeria,bat,Nigeria,Zimbabwe
Kenya,,2024-03-20,"Achimota Senior Secondary School B Field, Accra",Ghana,bat,Ghana,Kenya
Namibia,,2024-03-21,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Namibia,Uganda
Zimbabwe,,2024-03-21,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,Zimbabwe,Kenya
Uganda,,2024-03-23,"Achimota Senior Secondary School A Field, Accra",Uganda,bat,Uganda,Kenya
Zimbabwe,,2024-03-23,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Namibia,Zimbabwe
Namibia,,2024-04-01,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,field,Oman,Namibia
Oman,,2024-04-02,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Oman,Namibia
Oman,,2024-04-04,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Namibia,Oman
Namibia,,2024-04-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Namibia,Oman
Namibia,,2024-04-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,Namibia,Oman
United States of America,,2024-04-07,Prairie View Cricket Complex,United States of America,field,Canada,United States of America
United States of America,,2024-04-09,Prairie View Cricket Complex,Canada,field,United States of America,Canada
United Arab Emirates,,2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,field,Kuwait,United Arab Emirates
Nepal,,2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Malaysia,bat,Malaysia,Nepal
Oman,,2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Oman,Bahrain
United States of America,,2024-04-12,Prairie View Cricket Complex,Canada,field,United States of America,Canada
Mexico,,2024-04-12,Los Reyes Polo Club,Mexico,bat,Mexico,Costa Rica
Hong Kong,,2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Hong Kong,bat,Hong Kong,Qatar
Mexico,,2024-04-12,Los Reyes Polo Club,Costa Rica,field,Mexico,Costa Rica
Malaysia,,2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Malaysia,bat,Malaysia,Saudi Arabia
Kuwait,,2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,Cambodia,Kuwait
Nepal,,2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Nepal,Qatar
United Arab Emirates,,2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,United Arab Emirates,Bahrain
Costa Rica,,2024-04-13,Los Reyes Polo Club,Costa Rica,bat,Costa Rica,Mexico
United States of America,,2024-04-13,Prairie View Cricket Complex,Canada,bat,Canada,United States of America
Spain,,2024-04-14,La Manga Club Top Ground,Jersey,bat,Jersey,Spain
Saudi Arabia,,2024-04-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,bat,Saudi Arabia,Hong Kong
Oman,,2024-04-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Cambodia,field,Oman,Cambodia
Mexico,,2024-04-14,Los Reyes Polo Club,Mexico,bat,Mexico,Costa Rica
Spain,,2024-04-14,La Manga Club Top Ground,Spain,field,Jersey,Spain
Kuwait,,2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,Kuwait,Bahrain
Oman,,2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,United Arab Emirates,Oman
Qatar,,2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,field,Malaysia,Qatar
Nepal,,2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Hong Kong,Nepal
Qatar,,2024-04-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,field,Qatar,Saudi Arabia
Bahrain,,2024-04-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,Cambodia,Bahrain
Nepal,,2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,field,Saudi Arabia,Nepal
United Arab Emirates,,2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,Cambodia,United Arab Emirates
Hong Kong,,2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,Malaysia,Hong Kong
Oman,,2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,Oman,Kuwait
Oman,,2024-04-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Hong Kong,Oman
United Arab Emirates,,2024-04-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,Nepal,United Arab Emirates
Pakistan,,2024-04-20,Rawalpindi Cricket Stadium,Pakistan,field,New Zealand,Pakistan
Hong Kong,,2024-04-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Nepal,Hong Kong
New Zealand,,2024-04-21,Rawalpindi Cricket Stadium,New Zealand,field,Pakistan,New Zealand
United Arab Emirates,,2024-04-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,United Arab Emirates,Oman
New Zealand,,2024-04-25,"Gaddafi Stadium, Lahore",Pakistan,field,New Zealand,Pakistan
Pakistan,,2024-04-27,"Gaddafi Stadium, Lahore",New Zealand,field,Pakistan,New Zealand
Thailand,,2024-05-01,Udayana Cricket Ground,Indonesia,field,Thailand,Indonesia
Indonesia,,2024-05-02,Udayana Cricket Ground,Thailand,bat,Thailand,Indonesia
Bangladesh,,2024-05-03,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Zimbabwe,Bangladesh
Indonesia,,2024-05-04,Udayana Cricket Ground,Thailand,field,Indonesia,Thailand
Thailand,,2024-05-05,Udayana Cricket Ground,Indonesia,field,Thailand,Indonesia
Bangladesh,,2024-05-05,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Zimbabwe,Bangladesh
Thailand,,2024-05-06,Udayana Cricket Ground,Indonesia,bat,Indonesia,Thailand
Japan,,2024-05-07,Sano International Cricket Ground,Japan,bat,Japan,Mongolia
Bangladesh,,2024-05-07,"Zahur Ahmed Chowdhury Stadium, Chattogram",Zimbabwe,field,Bangladesh,Zimbabwe
Japan,,2024-05-08,Sano International Cricket Ground,Japan,bat,Japan,Mongolia
France,,2024-05-09,Dreux Sport Cricket Club,France,bat,France,Malta
France,,2024-05-09,Dreux Sport Cricket Club,France,bat,France,Malta
Japan,,2024-05-10,Sano International Cricket Ground,Mongolia,bat,Mongolia,Japan
Bangladesh,,2024-05-10,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,Zimbabwe
Ireland,,2024-05-10,"Castle Avenue, Dublin",Ireland,field,Pakistan,Ireland
Belgium,,2024-05-10,Dreux Sport Cricket Club,Belgium,bat,Belgium,Malta
Belgium,,2024-05-11,Dreux Sport Cricket Club,Malta,bat,Malta,Belgium
Japan,,2024-05-11,Sano International Cricket Ground,Japan,bat,Japan,Mongolia
Japan,,2024-05-11,Sano International Cricket Ground,Japan,bat,Japan,Mongolia
France,,2024-05-11,Dreux Sport Cricket Club,Belgium,bat,Belgium,France
Zimbabwe,,2024-05-12,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,Zimbabwe
Japan,,2024-05-12,Sano International Cricket Ground,Japan,bat,Japan,Mongolia
Pakistan,,2024-05-12,"Castle Avenue, Dublin",Pakistan,field,Ireland,Pakistan
Belgium,,2024-05-12,Dreux Sport Cricket Club,France,bat,France,Belgium
Pakistan,,2024-05-14,"Castle Avenue, Dublin",Pakistan,field,Ireland,Pakistan
Netherlands,,2024-05-18,"Sportpark Westvliet, The Hague",Scotland,field,Netherlands,Scotland
Ireland,,2024-05-19,"Sportpark Westvliet, The Hague",Netherlands,field,Ireland,Netherlands
United States of America,,2024-05-21,Prairie View Cricket Complex,United States of America,field,Bangladesh,United States of America
Scotland,,2024-05-22,"Sportpark Westvliet, The Hague",Netherlands,field,Scotland,Netherlands
West Indies,,2024-05-23,"Sabina Park, Kingston, Jamaica",South Africa,field,West Indies,South Africa
United States of America,,2024-05-23,Prairie View Cricket Complex,Bangladesh,field,United States of America,Bangladesh
Ireland,,2024-05-23,"Sportpark Westvliet, The Hague",Scotland,bat,Scotland,Ireland
Romania,,2024-05-24,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat,Bulgaria,Romania
Gibraltar,,2024-05-24,"Moara Vlasiei Cricket Ground, Ilfov County",Gibraltar,field,Bulgaria,Gibraltar
Ireland,,2024-05-24,"Sportpark Westvliet, The Hague",Netherlands,field,Ireland,Netherlands
England,,2024-05-25,"Edgbaston, Birmingham",Pakistan,field,England,Pakistan
Gibraltar,,2024-05-25,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Gibraltar
West Indies,,2024-05-25,"Sabina Park, Kingston, Jamaica",West Indies,bat,West Indies,South Africa
Bangladesh,,2024-05-25,Prairie View Cricket Complex,Bangladesh,field,United States of America,Bangladesh
Romania,,2024-05-26,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field,Romania,Bulgaria
West Indies,,2024-05-26,"Sabina Park, Kingston, Jamaica",South Africa,bat,South Africa,West Indies
England,,2024-05-30,"Kennington Oval, London",England,field,Pakistan,England
United States of America,,2024-06-01,"Grand Prairie Stadium, Dallas",United States of America,field,Canada,United States of America
West Indies,,2024-06-02,"Providence Stadium, Guyana",West Indies,field,Papua New Guinea,West Indies
South Africa,,2024-06-03,"Nassau County International Cricket Stadium, New York",Sri Lanka,bat,Sri Lanka,South Africa
Netherlands,,2024-06-04,"Grand Prairie Stadium, Dallas",Netherlands,field,Nepal,Netherlands
Australia,,2024-06-05,"Kensington Oval, Bridgetown, Barbados",Oman,field,Australia,Oman
Uganda,,2024-06-05,"Providence Stadium, Guyana",Uganda,field,Papua New Guinea,Uganda
India,,2024-06-05,"Nassau County International Cricket Stadium, New York",India,field,Ireland,India
Scotland,,2024-06-06,"Kensington Oval, Bridgetown, Barbados",Namibia,bat,Namibia,Scotland
Bangladesh,,2024-06-07,"Grand Prairie Stadium, Dallas",Bangladesh,field,Sri Lanka,Bangladesh
Canada,,2024-06-07,"Nassau County International Cricket Stadium, New York",Ireland,field,Canada,Ireland
Australia,,2024-06-08,"Kensington Oval, Bridgetown, Barbados",England,field,Australia,England
South Africa,,2024-06-08,"Nassau County International Cricket Stadium, New York",South Africa,field,Netherlands,South Africa
West Indies,,2024-06-08,"Providence Stadium, Guyana",West Indies,bat,West Indies,Uganda
Italy,,2024-06-09,Roma Cricket Ground,Luxembourg,field,Italy,Luxembourg
India,,2024-06-09,"Nassau County International Cricket Stadium, New York",Pakistan,field,India,Pakistan
Scotland,,2024-06-09,"Sir Vivian Richards Stadium, North Sound, Antigua",Oman,bat,Oman,Scotland
Romania,,2024-06-09,"Simar Cricket Ground, Rome",Austria,bat,Austria,Romania
Portugal,,2024-06-09,"Simar Cricket Ground, Rome",Hungary,field,Portugal,Hungary
France,,2024-06-09,Roma Cricket Ground,Isle of Man,field,France,Isle of Man
Romania,,2024-06-10,Roma Cricket Ground,Portugal,bat,Portugal,Romania
Italy,,2024-06-10,"Simar Cricket Ground, Rome",Italy,field,France,Italy
Isle of Man,,2024-06-10,"Simar Cricket Ground, Rome",Turkey,field,Isle of Man,Turkey
Austria,,2024-06-10,Roma Cricket Ground,Israel,bat,Israel,Austria
South Africa,,2024-06-10,"Nassau County International Cricket Stadium, New York",South Africa,bat,South Africa,Bangladesh
Australia,,2024-06-11,"Sir Vivian Richards Stadium, North Sound, Antigua",Australia,field,Namibia,Australia
Pakistan,,2024-06-11,"Nassau County International Cricket Stadium, New York",Pakistan,field,Canada,Pakistan
Luxembourg,,2024-06-12,Roma Cricket Ground,Turkey,field,Luxembourg,Turkey
Austria,,2024-06-12,"Simar Cricket Ground, Rome",Portugal,bat,Portugal,Austria
Italy,,2024-06-12,Roma Cricket Ground,Isle of Man,bat,Isle of Man,Italy
India,,2024-06-12,"Nassau County International Cricket Stadium, New York",India,field,United States of America,India
Hungary,,2024-06-12,"Simar Cricket Ground, Rome",Israel,bat,Israel,Hungary
West Indies,,2024-06-12,"Brian Lara Stadium, Tarouba, Trinidad",New Zealand,field,West Indies,New Zealand
Israel,,2024-06-13,Roma Cricket Ground,Portugal,bat,Portugal,Israel
France,,2024-06-13,"Simar Cricket Ground, Rome",France,bat,France,Luxembourg
Italy,,2024-06-13,"Simar Cricket Ground, Rome",Turkey,bat,Turkey,Italy
Romania,,2024-06-13,Roma Cricket Ground,Romania,field,Hungary,Romania
England,,2024-06-13,"Sir Vivian Richards Stadium, North Sound, Antigua",England,field,Oman,England
Bangladesh,,2024-06-13,"Arnos Vale Ground, Kingstown, St Vincent",Netherlands,field,Bangladesh,Netherlands
South Africa,,2024-06-14,"Arnos Vale Ground, Kingstown, St Vincent",Nepal,field,South Africa,Nepal
Norway,,2024-06-14,Kerava National Cricket Ground,Finland,field,Norway,Finland
New Zealand,,2024-06-14,"Brian Lara Stadium, Tarouba, Trinidad",New Zealand,field,Uganda,New Zealand
Isle of Man,,2024-06-15,Roma Cricket Ground,Isle of Man,bat,Isle of Man,Luxembourg
France,,2024-06-15,Roma Cricket Ground,Turkey,field,France,Turkey
